Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Total_Score
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,73.69,53.17,62.84,59.8865
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.23,98.23,98.23,81.917
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,85.85,50,91.22,67.717
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,68.1,66.27,55.48,51.6535
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,67.66,83.98,87.43,71.403
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,87.85,52.26,67.65,68.09
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,89,54.17,87.51,82.8575
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,50.72,53.83,90.04,71.36850000000001
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,57.19,79.08,57.57,65.8605
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,60.65,94.8,83.09,82.75550000000001
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70,67.58,77.77,93.14,79.98599999999999
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,64.57,80.18,66.17,77.6705
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,83.43,67.3,54.02,70.909
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,91.41,50.94,51.36,66.7105
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,94.98,59.6,51.08,55.5,63.699999999999996
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,78.15,94.42,50.21,70.56700000000001
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,68.39,55.13,66.35,68.44149999999999
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,75.29,99.99,64.97,65.373
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,81.04,58.22,55.52,61.4295
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,94.68,83.73,82.56,80.2355
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,59.61,97.45,99.6,68.05599999999998
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,54.35,68.11,95.05,72.2395
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,81.36,86.72,62.64,59.3065
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,61.85,69.71,67.54,88.5,81.2455
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,58.15,65.25,96.84,78.4575
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,55.85,60.09,95.32,76.841
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,77.95,91.05,94.23,81.05000000000001
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,63.85,73.21,65.02,62.87,89.32,71.42499999999998
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,99.87,64.16,64.65,77.0615
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.73,48.02,70.3,99.95,54.18,62.43699999999999
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,59.64,86.31,60.61,66.37,74.39,66.0145
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,81.44,71.14,52.74,59.4345
S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,62.21,99.5,99.92,75.3605
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,74.7,68.47,67.92,60.840500000000006
S1034,Emma,Davis,student34@university.com,Female,21,CS,59.2,75.21,74.13,68.31,97.92,75.453
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,72.68,91.39,88.66,72.686
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,50.68,41.06,89.8,65.6,70.56,64.58699999999999
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,74.08,54.51,60.83,61.69,55.92,54.846000000000004
S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,95.22,71.16,61.86,76.036
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,89.57,85.03,83.65,70.524
S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,66.66,52.16,91.5,74.41499999999999
S1041,Omar,Smith,student41@university.com,Male,23,CS,74.51,87.26,59.03,68.7,98.97,82.207
S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,63.98,67.31,56.61,70.08850000000001
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,79.62,60.28,66.63,62.24,57.8,62.5355
S1044,Maria,Smith,student44@university.com,Male,22,Business,87.94,82.04,77.85,82.71,52.12,74.6105
S1045,Maria,Brown,student45@university.com,Male,21,CS,59.54,90.62,52.32,64.5,63.02,66.46950000000001
S1046,Liam,Smith,student46@university.com,Male,24,CS,78.41,75.69,95.72,80.34,91.05,74.4005
S1047,Omar,Jones,student47@university.com,Female,23,Business,90.71,87.07,54.93,75.22,59.91,64.285
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,88.41,84.95,63.96,60.86,77.39,74.3145
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,90.15,74.3,55.46,63.33,72.32,64.03549999999998
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,93.97,58.73,62.83,58.53,66.29,65.70150000000001
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,96.88,84.75,91.88,52.83,80.92,71.70349999999999
S1052,John,Brown,student52@university.com,Female,19,CS,70.28,52.41,80.76,80.96,75.12,75.0925
S1053,Maria,Smith,student53@university.com,Female,23,Business,78.44,86.77,61.37,83.64,66.74,68.2895
S1054,Omar,Smith,student54@university.com,Male,19,Business,89.53,88.27,93.59,58.3,84.44,77.74349999999998
S1055,Maria,Brown,student55@university.com,Female,19,CS,84.86,89.33,90.04,80.77,64,74.7025
S1056,Liam,Williams,student56@university.com,Female,20,CS,99.78,68.37,87.68,99.1,82.16,79.403
S1057,Ali,Johnson,student57@university.com,Male,20,CS,50.68,51.55,92.38,53.72,97.86,74.5145
S1058,John,Smith,student58@university.com,Male,20,Mathematics,67.76,45.98,80.98,74.52,86.45,76.56099999999999
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business,64.05,84.6,75.07,86.65,70.92,77.554
S1060,John,Davis,student60@university.com,Female,20,Business,63.12,93.18,68.7,52.3,87.38,69.98349999999999
S1061,Omar,Davis,student61@university.com,Male,19,Business,61.13,79.05,61.19,88.91,90.46,83.86
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering,85.46,48.65,77.87,98.98,66.29,73.25550000000001
S1063,Ali,Davis,student63@university.com,Male,22,CS,54.24,96.09,94.47,54.42,85.26,81.3665
S1064,Omar,Davis,student64@university.com,Male,20,CS,87.08,99.35,79.7,91.11,71.72,71.65700000000001
S1065,Sara,Williams,student65@university.com,Female,24,CS,84.67,66,95.98,68.93,90.93,77.2365
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics,62.54,75.69,67.85,57.21,64.77,60.725500000000004
S1067,Ali,Williams,student67@university.com,Male,18,Business,62.64,86.63,84.76,74.66,96.89,80.31899999999999
S1068,Maria,Davis,student68@university.com,Male,23,CS,81.44,84.18,82.43,53.58,78.74,73.3265
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics,88.11,98.07,83.52,76.11,67.67,78.43050000000001
S1070,Sara,Jones,student70@university.com,Male,21,CS,93.82,46.89,82.25,50.97,70.97,62.483999999999995
S1071,Sara,Jones,student71@university.com,Female,23,Engineering,92.61,74.84,61.08,86.43,67.39,75.0805
S1072,Ali,Johnson,student72@university.com,Female,21,Business,98.24,81.52,57.18,74.4,57.31,61.58550000000001
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics,79.07,93.41,98.93,72.95,53.42,72.75200000000001
S1074,Ahmed,Jones,student74@university.com,Female,22,CS,95.43,92.45,52.26,59.81,66.09,73.3345
S1075,Sara,Williams,student75@university.com,Female,18,Business,90.43,98.68,73.39,68.06,72.93,76.8655
S1076,Maria,Williams,student76@university.com,Female,21,Mathematics,94.73,70.72,71.25,59.09,68.09,66.8915
S1077,Maria,Davis,student77@university.com,Male,20,Business,50.58,89.85,68,86.77,50.7,67.27199999999999
S1078,Omar,Johnson,student78@university.com,Male,23,Business,98.3,65.64,89.1,59.95,78.95,70.4535
S1079,Maria,Smith,student79@university.com,Male,24,Engineering,73.68,65.34,87.27,80.84,57.24,71.60000000000001
S1080,Omar,Johnson,student80@university.com,Female,22,Business,89.91,55.2,95.26,63.98,60.55,65.12199999999999
S1081,Maria,Johnson,student81@university.com,Female,23,Mathematics,56.36,89.09,69.77,82.85,56.04,72.416
S1082,Ahmed,Brown,student82@university.com,Male,20,Business,69.8,99.15,78.21,77.02,76.02,77.58949999999999
S1083,Liam,Davis,student83@university.com,Male,20,Mathematics,63.57,55.38,94.62,71.17,54.76,62.645
S1084,Omar,Brown,student84@university.com,Female,21,Business,64.58,43.37,99.69,83.65,62.82,63.94
S1085,John,Johnson,student85@university.com,Female,20,CS,56.16,88.93,98.46,70.79,72.59,72.657
S1086,Emma,Johnson,student86@university.com,Male,18,Engineering,90.29,77.21,85.89,91.07,58.39,69.629
S1087,Ali,Johnson,student87@university.com,Female,20,CS,50.46,97.58,57.16,86.48,72.31,74.067
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,65.63,55.13,51.16,77.03,67.14,64.651
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,58.72,44.26,91.26,93.85,93.03,81.4695
S1090,Liam,Johnson,student90@university.com,Female,20,Engineering,79.45,69.55,92.05,91.44,89.75,74.4315
S1091,Maria,Williams,student91@university.com,Female,22,Business,62.71,45.13,87.32,76.59,99.64,85.901
S1092,Sara,Davis,student92@university.com,Female,24,Business,62.95,55.71,64,53.42,76.45,64.666
S1093,Emma,Davis,student93@university.com,Female,22,CS,74.42,47.56,81.99,78.3,78.77,69.68599999999999
S1094,Emma,Williams,student94@university.com,Male,22,Engineering,82.63,53.45,65.81,67.76,97.33,75.5215
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,56.07,46.37,72.53,77.01,69.98,71.79750000000001
S1096,Sara,Jones,student96@university.com,Female,19,Mathematics,58.78,97.23,69.12,82.36,77.78,75.77
S1097,Maria,Jones,student97@university.com,Female,24,Business,62.36,56.71,95.68,82.24,68.95,74.88499999999999
S1098,Emma,Smith,student98@university.com,Female,22,Mathematics,98.69,66.63,61.71,83.68,77.29,78.12100000000001
S1099,Ahmed,Smith,student99@university.com,Male,22,Business,69.86,93.92,78.88,83.96,54.04,72.0455
S1100,Omar,Smith,student100@university.com,Male,19,Business,79.95,80.64,68.05,55.46,89.19,68.094
S1101,Sara,Davis,student101@university.com,Female,23,Business,62.08,77.08,83.15,59.59,99.26,85.25150000000001
S1102,Sara,Jones,student102@university.com,Male,24,CS,74.52,82.33,78.23,81.53,53.29,72.5115
S1103,Maria,Jones,student103@university.com,Female,22,CS,53.71,89.73,96.2,70.41,90.05,85.1355
S1104,Sara,Jones,student104@university.com,Female,21,Business,51.74,92.66,55.08,88.14,62.09,71.837
S1105,Sara,Williams,student105@university.com,Female,23,Business,73.44,78.56,61.03,56.25,59.88,72.645
S1106,Emma,Jones,student106@university.com,Female,24,Business,69.93,93.4,88.32,59.58,84.67,76.7645
S1107,Maria,Williams,student107@university.com,Female,22,Mathematics,56.84,72.12,68.44,77.92,52.21,57.8065
S1108,Emma,Smith,student108@university.com,Female,22,Business,84.38,56.64,58.29,75.04,73.16,65.269
S1109,Omar,Smith,student109@university.com,Female,19,Business,99.65,92.8,75.17,63.32,50.07,59.616
S1110,Liam,Davis,student110@university.com,Male,24,Engineering,69.78,72.49,82.61,70.42,77.72,71.148
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,81.23,94.37,52.24,51.75,73.1,72.08899999999998
S1112,Liam,Davis,student112@university.com,Male,23,Engineering,98.15,42.41,64.58,51.85,95.77,67.0245
S1113,Emma,Johnson,student113@university.com,Female,20,Engineering,91.58,63.85,90.47,54.75,86.01,76.321
S1114,Omar,Johnson,student114@university.com,Female,18,Business,73.18,96.87,76.01,78.84,56.3,75.476
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,86.87,54.98,51.77,93.19,67.73,65.403
S1116,Ali,Davis,student116@university.com,Male,20,Mathematics,56.41,96.49,64.1,63.01,96.58,84.601
S1117,Emma,Brown,student117@university.com,Female,21,Mathematics,75.61,97.23,81.96,51.7,86.27,71.197
S1118,Liam,Brown,student118@university.com,Male,24,Engineering,63.95,92.93,59.97,85.43,79.71,80.8085
S1119,Ahmed,Johnson,student119@university.com,Female,20,CS,58.06,73.82,91.37,92.77,77.95,81.338
S1120,Liam,Davis,student120@university.com,Female,24,Mathematics,71.31,78.82,83.83,56.91,69.9,66.93350000000001
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,56.55,92.18,73.57,69.29,79.26,70.74950000000001
S1122,Sara,Brown,student122@university.com,Male,21,Engineering,84.95,86.55,95.78,57.94,88.58,76.06
S1123,Omar,Davis,student123@university.com,Male,19,Engineering,72.81,77.81,69.59,55.32,56.38,66.96600000000001
S1124,Ahmed,Brown,student124@university.com,Male,21,Business,76.56,98.94,61.75,82.41,98.49,87.2815
S1125,Liam,Jones,student125@university.com,Female,24,Mathematics,57.32,81.14,83.07,98.38,61.97,68.8855
S1126,Sara,Davis,student126@university.com,Male,21,Engineering,56.99,98.53,78.66,83.91,72.39,77.4615
S1127,Ali,Davis,student127@university.com,Male,20,Engineering,79.17,43.44,66.76,99.24,51.14,55.226
S1128,Maria,Brown,student128@university.com,Male,18,Business,99.25,48.34,67.18,71.72,77.52,67.93849999999999
S1129,Maria,Jones,student129@university.com,Male,20,Mathematics,54.81,67.09,69.91,94.89,69.09,79.9985
S1130,Maria,Williams,student130@university.com,Male,22,Engineering,64.29,63.09,64.56,60.25,62.49,59.467
S1131,Ahmed,Johnson,student131@university.com,Female,21,Business,93.47,86.96,85.51,55.9,99.28,88.172
S1132,Ali,Brown,student132@university.com,Female,23,Engineering,53.61,49.64,82.57,85.13,71.41,75.47749999999999
S1133,Ahmed,Davis,student133@university.com,Male,21,CS,93.79,98.57,72.04,68.57,70.71,78.39399999999999
S1134,Omar,Johnson,student134@university.com,Male,19,CS,76.21,58.9,69.89,65.88,73.16,61.16199999999999
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,70.41,65.74,68.25,83.56,55.81,58.875
S1136,Ali,Johnson,student136@university.com,Male,23,Mathematics,65.48,56.48,64.17,66.67,69.65,56.402
S1137,Ali,Williams,student137@university.com,Female,20,CS,64.86,74.76,54.28,78.63,66.82,69.43499999999999
S1138,Omar,Smith,student138@university.com,Female,19,Business,65.29,43.52,63.41,64.97,73.26,66.83699999999999
S1139,Ali,Brown,student139@university.com,Male,21,Engineering,94.24,48.98,66.06,89.19,92.83,67.269
S1140,Liam,Smith,student140@university.com,Female,20,Business,86.19,84.75,77.38,65.62,59.64,75.31599999999999
S1141,Ali,Smith,student141@university.com,Male,20,CS,83.49,51.19,88.69,76.75,80.39,71.5315
S1142,Maria,Smith,student142@university.com,Male,22,Mathematics,89.94,54.13,69.79,51.16,51.88,56.153
S1143,Liam,Johnson,student143@university.com,Female,22,Business,62.86,87.58,97.24,89.59,65.84,72.9865
S1144,Liam,Jones,student144@university.com,Female,18,CS,80.9,45.6,91.37,81.02,73.63,66.35650000000001
