Student_ID,First_Name,Last_Name,Email,Gender,Age,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Operating_System,DSA,Mathematics,Computer_Network,Machine_Learning,Final_Score
S1000,Omar,Williams,student0@university.com,Female,22,97.36,40.61,73.69,53.17,62.84,34.96714153,28.61735699,36.47688538,45.23029856,27.65846625,34.59002974
S1001,Maria,Brown,student1@university.com,Male,18,97.71,57.27,74.23,98.23,98.23,27.65863043,45.79212816,37.67434729,25.30525614,35.42560044,34.37119249
S1002,Ahmed,Jones,student2@university.com,Male,24,99.52,41.84,85.85,50,91.22,25.36582307,25.34270246,32.41962272,10.86719755,12.75082167,21.3492335
S1003,Omar,Williams,student3@university.com,Female,24,90.38,45.65,68.1,66.27,55.48,24.37712471,19.8716888,33.14247333,20.91975924,15.87696299,22.83760181
S1004,John,Smith,student4@university.com,Female,23,59.41,53.13,67.66,83.98,87.43,44.65648769,27.742237,30.67528205,15.75251814,24.55617275,28.67653952
S1005,Liam,Brown,student5@university.com,Male,21,60.6,70.21,87.85,52.26,67.65,31.1092259,18.49006423,33.75698018,23.9936131,27.0830625,26.88658918
S1006,Ahmed,Jones,student6@university.com,Male,24,67.01,90.85,89,54.17,87.51,23.98293388,48.52278185,29.86502775,19.42289071,38.22544912,32.00381666
S1007,Ahmed,Smith,student7@university.com,Male,19,65.91,91.72,50.72,53.83,90.04,17.7915635,32.08863595,10.40329876,16.71813951,31.96861236,21.79405002
S1008,Omar,Smith,student8@university.com,Female,21,97.83,76.97,57.19,79.08,57.57,37.3846658,31.71368281,28.84351718,26.98896304,15.2147801,28.02912179
S1009,Sara,Smith,student9@university.com,Female,22,89.45,95.69,60.65,94.8,83.09,22.80155792,25.39361229,40.57122226,33.4361829,12.36959845,26.91443476
S1010,John,Smith,student10@university.com,Female,23,86.2,70,67.58,77.77,93.14,33.24083969,26.1491772,23.23078,36.11676289,40.30999522,31.809511
S1011,Omar,Williams,student11@university.com,Female,20,59.3,93.34,64.57,80.18,66.17,39.31280119,21.60782477,26.90787624,33.31263431,39.75545127,32.17931756
S1012,John,Davis,student12@university.com,Male,21,95.48,67.24,83.43,67.3,54.02,25.20825762,28.14341023,18.93665026,18.03793376,38.12525822,25.69030202
S1013,John,Williams,student13@university.com,Male,18,91.39,56.63,91.41,50.94,51.36,43.56240029,29.27989878,40.03532898,33.61636025,23.54880245,34.00855815
S1014,Liam,Williams,student14@university.com,Male,19,58.18,94.98,59.6,51.08,55.5,33.61395606,45.38036566,29.64173961,45.64643656,3.802548959,31.61700937
S1015,Ahmed,Jones,student15@university.com,Male,18,93.56,63.28,78.15,94.42,50.21,38.21902504,30.87047068,27.0099265,30.91760777,10.12431085,27.42826817
S1016,Maria,Jones,student16@university.com,Female,21,63.61,70.2,68.39,55.13,66.35,27.80328112,33.57112572,44.77894045,24.81729782,21.91506397,30.57714181
S1017,Liam,Davis,student17@university.com,Female,23,54.04,59.73,75.29,99.99,64.97,24.98242956,39.15402118,33.2875111,24.70239796,35.13267433,31.45180683
S1018,Liam,Jones,student18@university.com,Male,20,82.84,79.77,81.04,58.22,55.52,30.97077549,39.68644991,22.97946906,26.72337853,26.07891847,29.28779829
S1019,John,Johnson,student19@university.com,Male,20,82.69,99.7,94.68,83.73,82.56,15.36485052,32.96120277,32.61055272,30.05113457,27.65412867,27.72837385
S1020,Emma,Davis,student20@university.com,Male,18,54.75,41.53,59.61,97.45,99.6,15.84629258,25.79354677,26.57285483,21.97722731,28.38714288,23.71541288
S1021,Ahmed,Jones,student21@university.com,Male,22,65.94,93.99,54.35,68.11,95.05,34.04050857,48.86185901,31.74577813,32.57550391,29.25554084,35.29583809
S1022,Sara,Davis,student22@university.com,Male,22,99.64,40.24,81.36,86.72,62.64,10.81228785,29.73486125,30.6023021,54.63242112,28.07639035,30.77165253
S1023,Liam,Williams,student23@university.com,Female,23,83.92,61.85,69.71,67.54,88.5,33.01547342,29.6528823,18.31321962,41.42822815,37.51933033,31.98582676
S1024,Maria,Williams,student24@university.com,Female,20,86.5,50.12,58.15,65.25,96.84,37.91031947,20.90612545,44.02794311,15.98148937,35.86857094,30.93888967
S1025,Emma,Davis,student25@university.com,Male,18,60.65,85.44,55.85,60.09,95.32,51.90455626,20.09463675,24.3370227,30.99651365,24.96524346,30.45959456
S1026,Emma,Johnson,student26@university.com,Male,18,53.94,43.04,77.95,91.05,94.23,14.49336569,30.68562975,19.37696286,34.73592431,20.80575766,24.01952805
S1027,Sara,Johnson,student27@university.com,Male,18,63.85,73.21,65.02,62.87,89.32,45.49934405,22.16746708,26.77938484,38.13517217,17.69135684,30.05454499
S1028,Liam,Davis,student28@university.com,Female,21,62.44,57.7,99.87,64.16,64.65,32.27459935,43.07142754,13.92516765,31.84633859,32.59882794,30.74327221
S1029,Maria,Jones,student29@university.com,Female,23,61.73,48.02,70.3,99.95,54.18,37.81822872,17.63049289,16.79543387,35.21941566,32.96984673,28.08668357
